participant,condition,on_screen_time_sec,total_duration_sec,longest_continuous_sec,avg_centrality_score,avg_detection_confidence,frames_character_detected,total_frames_analysed
N01E,Control,189.62,219.35,113.29,0.683,0.891,944,1092
N01J,Control,208.95,228.46,118.58,0.815,0.919,2088,2283
N02E,Control,185.5,217.3,33.3,0.727,0.907,1855,2173
N03J,Control,181.46,217.77,43.5,0.695,0.905,3629,4355
N07J,Control,204.92,219.91,70.43,0.579,0.915,3992,4284
N10J,Control,206.44,228.56,39.19,0.75,0.909,4003,4432
N11J,Control,204.9,226.19,94.84,0.642,0.904,3686,4069
N12J,Control,199.42,220.32,52.03,0.64,0.903,3568,3942
N14J,Control,198.36,217.53,62.42,0.656,0.914,3559,3903
N15J,Control,210.6,222.11,149.67,0.709,0.915,3785,3992
N19J,Control,163.82,221.76,21.6,0.71,0.888,2912,3942
N21J,Control,192.41,216.98,65.66,0.737,0.905,3446,3886
N23J,Control,178.73,229.98,38.23,0.627,0.9,3184,4097
N25J,Control,171.89,218.74,22.33,0.644,0.904,3071,3908
N28J,Control,192.6,217.99,84.86,0.741,0.911,3459,3915
N30J,Control,126.64,226.65,13.38,0.662,0.863,2083,3728
N32J,Control,148.19,237.17,17.62,0.712,0.883,2633,4214
N34J,Control,179.26,222.43,59.23,0.662,0.904,3205,3977
N36J,Control,202.76,217.21,107.85,0.719,0.914,3354,3593
N38J,Control,159.99,219.36,23.43,0.73,0.892,2854,3913
N40J,Control,205.52,227.27,149.32,0.78,0.914,3686,4076
N42J,Control,194.73,219.56,74.49,0.766,0.914,3498,3944
N44J,Control,201.96,228.19,68.04,0.806,0.908,3280,3706
N46J,Control,191.62,220.59,112.76,0.755,0.909,3426,3944
N48J,Control,204.14,226.4,148.82,0.833,0.914,3668,4068
N50J,Control,142.7,229.0,38.4,0.573,0.889,2553,4097
T02J,Test,176.95,224.57,51.92,0.71,0.902,1769,2245
T04J,Test,200.51,229.57,131.71,0.819,0.914,4010,4591
T05J,Test,199.21,227.57,106.06,0.738,0.914,3984,4551
T06J,Test,195.4,214.69,73.79,0.61,0.913,3797,4172
T08J,Test,210.12,218.42,210.12,0.723,0.922,4104,4266
T09J,Test,206.14,220.76,179.04,0.579,0.912,4017,4302
T13J,Test,207.06,224.25,172.58,0.685,0.916,3723,4032
T16J,Test,193.48,224.78,71.12,0.706,0.909,3368,3913
T17J,Test,197.98,225.93,70.47,0.742,0.907,3548,4049
T18J,Test,191.9,221.06,98.66,0.631,0.894,3429,3950
T20J,Test,203.75,225.04,178.67,0.658,0.912,3665,4048
T22J,Test,203.69,221.49,105.64,0.628,0.906,3650,3969
T24J,Test,190.67,223.26,90.04,0.711,0.9,3422,4007
T26J,Test,207.24,216.09,79.04,0.698,0.913,3723,3882
T27J,Test,207.16,216.6,203.38,0.605,0.909,3731,3901
T29J,Test,190.54,216.55,44.93,0.782,0.905,3414,3880
T31J,Test,178.88,230.99,64.43,0.741,0.898,3004,3879
T33J,Test,207.74,221.98,100.89,0.7,0.916,3735,3991
T35J,Test,196.17,222.16,90.11,0.811,0.913,3518,3984
T37J,Test,194.81,223.37,88.37,0.793,0.913,3492,4004
T39J,Test,210.74,240.83,127.83,0.767,0.916,3782,4322
T41J,Test,207.45,229.43,74.56,0.806,0.917,3720,4114
T43J,Test,195.84,220.83,72.62,0.773,0.911,3503,3950
T45J,Test,190.14,221.22,82.04,0.769,0.903,3414,3972
T47J,Test,204.5,219.92,87.3,0.817,0.918,3673,3950
T49J,Test,195.59,226.09,89.5,0.797,0.913,3514,4062
